scenario,initial_capacity,time,capacity,substitute_share
capacity trap,0.15,73.0,0.0854018369610284,0.999896580129439
capacity trap,0.15,74.0,0.0854018352255273,0.9998965801326614
capacity trap,0.15,75.0,0.08540183384531891,0.9998965801352241
capacity trap,0.15,76.0,0.08540183274766748,0.999896580137262
capacity trap,0.15,77.0,0.08540183187472787,0.9998965801388828
capacity trap,0.15,78.0,0.08540183118049689,0.9998965801401718
capacity trap,0.15,79.0,0.08540183062838928,0.999896580141197
capacity trap,0.15,80.0,0.08540183018930941,0.9998965801420121
capacity trap,0.3,0.0,0.3,0.9951479976884516
capacity trap,0.3,1.0,0.3264695057734736,0.9922188536143358
capacity trap,0.3,2.0,0.3633176142009351,0.9850301229492266
capacity trap,0.3,3.0,0.4155344534770729,0.9626399996781162
capacity trap,0.3,4.0,0.49183922025086413,0.8674993027497728
capacity trap,0.3,5.0,0.6185272139430714,0.4023564481641871
capacity trap,0.3,6.0,0.7779127423852541,0.03706105612872409
capacity trap,0.3,7.0,0.8326033378017049,0.014211463607736237
capacity trap,0.3,8.0,0.8414964166911543,0.01213960472936607
capacity trap,0.3,9.0,0.8427242432073797,0.011878052059470475
capacity trap,0.3,10.0,0.8428896504450814,0.011843245087504346
capacity trap,0.3,11.0,0.8429118587704268,0.01183857942578906
capacity trap,0.3,12.0,0.8429148392163165,0.011837953413595807
capacity trap,0.3,13.0,0.8429152391798336,0.011837869407836479
capacity trap,0.3,14.0,0.8429152928528482,0.011837858134747251
capacity trap,0.3,15.0,0.8429153000554784,0.011837856621960031
capacity trap,0.3,16.0,0.8429153010220326,0.01183785641895218
capacity trap,0.3,17.0,0.842915301151739,0.011837856391709606
capacity trap,0.3,18.0,0.8429153011691448,0.011837856388053816
capacity trap,0.3,19.0,0.8429153011714806,0.011837856387563206
capacity trap,0.3,20.0,0.842915301171794,0.011837856387497398
capacity trap,0.3,21.0,0.8429153011718361,0.011837856387488558
capacity trap,0.3,22.0,0.8429153011718418,0.011837856387487362
capacity trap,0.3,23.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,24.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,25.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,26.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,27.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,28.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,29.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,30.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,31.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,32.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,33.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,34.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,35.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,36.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,37.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,38.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,39.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,40.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,41.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,42.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,43.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,44.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,45.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,46.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,47.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,48.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,49.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,50.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,51.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,52.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,53.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,54.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,55.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,56.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,57.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,58.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,59.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,60.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,61.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,62.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,63.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,64.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,65.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,66.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,67.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,68.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,69.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,70.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,71.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,72.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,73.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,74.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,75.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,76.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,77.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,78.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,79.0,0.8429153011718421,0.01183785638748728
capacity trap,0.3,80.0,0.8429153011718421,0.01183785638748728
repair intervention,0.15,0.0,0.15,0.9996702183654522
repair intervention,0.15,1.0,0.19476715899069225,0.9992635670497569
repair intervention,0.15,2.0,0.24617730624310694,0.9981484640083371
repair intervention,0.15,3.0,0.31172071789585326,0.994018322010141
repair intervention,0.15,4.0,0.40179379001036497,0.9705678157799028
repair intervention,0.15,5.0,0.5333128333275324,0.756644111219345
repair intervention,0.15,6.0,0.7417319851557626,0.068638250607686
repair intervention,0.15,7.0,0.8496185484318651,0.010509598969014208
repair intervention,0.15,8.0,0.8656253811295429,0.007905154342002828
repair intervention,0.15,9.0,0.8673503955347114,0.007665911949681548
repair intervention,0.15,10.0,0.8675288109112818,0.007641581247586543
repair intervention,0.15,11.0,0.8675471839176968,0.007639080056386476
repair intervention,0.15,12.0,0.8675490750977048,0.007638822648569584
repair intervention,0.15,13.0,0.8675492697526319,0.00763879615464744
repair intervention,0.15,14.0,0.8675492897879326,0.007638793427705482
repair intervention,0.15,15.0,0.8675492918501104,0.0076387931470289746
repair intervention,0.15,16.0,0.8675492920623646,0.007638793118139717
repair intervention,0.15,17.0,0.8675492920842113,0.007638793115166251
repair intervention,0.15,18.0,0.86754929208646,0.007638793114860177
repair intervention,0.15,19.0,0.8675492920866915,0.007638793114828669
repair intervention,0.15,20.0,0.8675492920867153,0.00763879311482543
repair intervention,0.15,21.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,22.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,23.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,24.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,25.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,26.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,27.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,28.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,29.0,0.8675492920867176,0.0076387931148251135
