scenario,period,mean_theta,attention_share,offline_social_capital,mean_fitness,subjective_satisfaction,entropy
I1_reproduce_selection_only,3,0.31401170794479116,0.31401170794479116,0.6859882920552088,1.9631400720645515,0.551841615195599,0.7931532041071935
I1_reproduce_selection_only,4,0.3023126894508843,0.3023126894508843,0.6976873105491157,1.990744545103413,0.5575724422811011,0.7921348641670912
I1_reproduce_selection_only,5,0.2907803176138884,0.2907803176138884,0.7092196823861117,2.018172385256851,0.563673525999674,0.791007924127028
I1_reproduce_selection_only,6,0.279420601709574,0.279420601709574,0.720579398290426,2.0453973013782893,0.5701407745264975,0.7897463610745775
I1_reproduce_selection_only,7,0.26824106630272126,0.26824106630272126,0.7317589336972787,2.0723890362988837,0.5769678056144372,0.7883210753844664
I1_reproduce_selection_only,8,0.2572507701538159,0.2572507701538159,0.7427492298461841,2.099113258305945,0.5841454360559879,0.786700330566364
I1_reproduce_selection_only,9,0.2464602576288491,0.2464602576288491,0.753539742371151,2.125531634165377,0.5916612267174715,0.7848504191435369
I1_reproduce_selection_only,10,0.23588143322195035,0.23588143322195035,0.7641185667780497,2.1516021125810303,0.5994991183570754,0.7827365448658918
I1_reproduce_selection_only,11,0.22552735483980077,0.22552735483980077,0.7744726451601992,2.1772794338341495,0.6076391921647426,0.7803238901822365
I1_reproduce_selection_only,12,0.2154119477942043,0.2154119477942043,0.7845880522057957,2.2025158644240332,0.6160575838645772,0.7775788169734185
I1_reproduce_selection_only,13,0.20554964836971804,0.20554964836971804,0.794450351630282,2.2272621364817518,0.6247265713995249,0.7744701309625939
I1_reproduce_selection_only,14,0.19595499255873644,0.19595499255873644,0.8040450074412635,2.251468552752488,0.6336148443563626,0.770970328676304
I1_reproduce_selection_only,15,0.18664217121028528,0.18664217121028528,0.8133578287897147,2.2750862014674986,0.6426879496053416,0.7670567423390324
I1_reproduce_selection_only,16,0.17762457663749995,0.17762457663749995,0.8223754233625,2.298068213697426,0.6519088937138786,0.7627125035301044
I1_reproduce_selection_only,17,0.16891436712723532,0.16891436712723532,0.8310856328727647,2.3203709904421017,0.6612388702542981,0.7579272603561545
I1_reproduce_selection_only,18,0.16052207459092177,0.16052207459092177,0.8394779254090783,2.341955328508719,0.6706380706911512,0.7526976035404872
I1_reproduce_selection_only,19,0.15245627696559388,0.15245627696559388,0.8475437230344061,2.3627873828603674,0.6800665321916721,0.7470271814689774
I1_reproduce_selection_only,20,0.1447233514354482,0.1447233514354482,0.8552766485645518,2.3828394173150835,0.6894849749255393,0.740926509656074
