shock,total_field,adoption,phase
0.23187499999999997,0.15187499999999998,0.9490622417593263,up
0.23625,0.15625,0.9500830006958554,up
0.240625,0.16062500000000002,0.9510802233478555,up
0.24499999999999997,0.16499999999999998,0.9520545915924552,up
0.24937499999999999,0.169375,0.9530067600873307,up
0.25375,0.17374999999999996,0.9539373592509348,up
0.258125,0.17812499999999998,0.9548469956598631,up
0.2625,0.1825,0.9557362528435822,up
0.266875,0.18687499999999996,0.9566056936686154,up
0.27125,0.19124999999999998,0.9574558599411781,up
0.27562499999999995,0.19562499999999994,0.9582872743940001,up
0.27999999999999997,0.19999999999999996,0.9591004410836882,up
0.284375,0.20437499999999997,0.9598958467815037,up
0.28874999999999995,0.20874999999999994,0.9606739607746788,up
0.29312499999999997,0.21312499999999995,0.9614352368532377,up
0.2975,0.21749999999999997,0.9621801129126326,up
0.301875,0.221875,0.9629090131392479,up
0.30625,0.22625,0.9636223464209432,up
0.310625,0.23062499999999997,0.9643205091286022,up
0.315,0.235,0.9650038845200862,up
0.31937499999999996,0.23937499999999995,0.9656728433362827,up
0.32375,0.24374999999999997,0.9663277447945138,up
0.328125,0.24812499999999998,0.9669689367872197,up
0.33249999999999996,0.25249999999999995,0.9675967560806391,up
0.336875,0.25687499999999996,0.9682115295069054,up
0.34124999999999994,0.2612499999999999,0.9688135733679959,up
0.34562499999999996,0.26562499999999994,0.969403194627829,up
0.35,0.26999999999999996,0.969980690912261,up
0.345625,0.265625,0.969403194627829,down
0.34125,0.26125,0.9688135733679959,down
0.336875,0.25687499999999996,0.9682115295069054,down
0.33249999999999996,0.25249999999999995,0.9675967560806391,down
0.328125,0.24812499999999998,0.9669689367872197,down
0.32375,0.24374999999999997,0.9663277447945138,down
0.31937499999999996,0.23937499999999995,0.9656728433362827,down
0.315,0.235,0.9650038845200862,down
0.310625,0.23062499999999997,0.9643205091286022,down
0.30624999999999997,0.22624999999999995,0.9636223464209432,down
0.301875,0.221875,0.9629090131392479,down
0.2975,0.21749999999999997,0.9621801129126326,down
0.29312499999999997,0.21312499999999995,0.9614352368532377,down
0.28874999999999995,0.20874999999999994,0.9606739607746788,down
0.284375,0.20437499999999997,0.9598958467815037,down
0.27999999999999997,0.19999999999999996,0.9591004410836882,down
0.27562499999999995,0.19562499999999994,0.9582872743940001,down
0.27125,0.19124999999999998,0.9574558599411781,down
0.266875,0.18687499999999996,0.9566056936686154,down
0.26249999999999996,0.18249999999999994,0.9557362528435822,down
0.258125,0.17812499999999998,0.9548469956598631,down
0.25375,0.17374999999999996,0.9539373592509348,down
0.24937499999999999,0.169375,0.9530067600873307,down
0.24499999999999997,0.16499999999999998,0.9520545915924552,down
0.24062499999999998,0.16062499999999996,0.9510802233478555,down
0.23625,0.15625,0.9500830006958554,down
0.23187499999999997,0.15187499999999998,0.9490622417593263,down
0.22749999999999998,0.14749999999999996,0.9480172374416844,down
0.22312499999999996,0.14312499999999995,0.9469472492413885,down
0.21875,0.13874999999999998,0.9458515076624818,down
0.214375,0.13437500000000002,0.9447292106251362,down
0.21,0.13,0.9435795208827826,down
0.205625,0.125625,0.9424015648300201,down
0.20124999999999998,0.12124999999999998,0.9411944303171101,down
0.196875,0.11687499999999999,0.939957163471064,down
0.1925,0.1125,0.9386887667088205,down
0.188125,0.10812499999999999,0.9373881957570126,down
0.18375,0.10375,0.9360543564730563,down
0.17937499999999998,0.09937499999999998,0.9346861022622799,down
0.175,0.09499999999999999,0.9332822297069163,down
