scenario,period,policy,exposure,mean_theta,offline_social_capital,mean_fitness,local_subjective_value,initial_preference_value,entropy,predictability,platform_value,autonomy_loss
no_platform_selection_benchmark,50,fixed,0.0,0.028488990735146724,0.9715110092648532,2.9106543946975725,-0.11472875376651134,-2.6194383738418376,0.4750260478346896,0.5249739521653104,0.1334837811682088,4.106579665229833e-08
no_platform_selection_benchmark,51,fixed,0.0,0.027438012967902756,0.9725619870320973,2.914085178789438,-0.11128573213167173,-2.674146361561753,0.4682706097856454,0.5317293902143546,0.1337838910107737,3.8492596870840525e-08
no_platform_selection_benchmark,52,fixed,0.0,0.026441226596067173,0.9735587734039328,2.9173403638108044,-0.10798758048410453,-2.7285205910713004,0.4616404519536053,0.5383595480463947,0.13411313620534612,3.61185322391023e-08
no_platform_selection_benchmark,53,fixed,0.0,0.025495112046941826,0.9745048879530582,2.9204312470577736,-0.10482656734818377,-2.7825428373844323,0.45513362318059314,0.5448663768194069,0.1344683874108232,3.392566634926531e-08
no_platform_selection_benchmark,54,fixed,0.0,0.024596412713347286,0.9754035872866527,2.923368292535704,-0.10179542134775862,-2.836196619676263,0.44874803390321155,0.5512519660967885,0.13484680593270498,3.189786686172192e-08
no_platform_selection_benchmark,55,fixed,0.0,0.023742114076415136,0.9762578859235849,2.9261611958023255,-0.09888730584180691,-2.8894670557312723,0.44248148745304766,0.5575185125469524,0.13524581658580562,3.0020609429355435e-08
no_platform_selection_benchmark,56,fixed,0.0,0.022929424423013798,0.9770705755769862,2.928818944051058,-0.09609579411847138,-2.94234072858768,0.4363317070319082,0.5636682929680918,0.13566308301663219,2.8280803972079373e-08
no_platform_selection_benchmark,57,fixed,0.0,0.022155757067601905,0.9778442429323981,2.9313498716679294,-0.09341484534437335,-2.9948055645439418,0.43029635886434103,0.569703641135659,0.1360964852947337,2.666664071709837e-08
no_platform_selection_benchmark,58,fixed,0.0,0.021418713985031063,0.978581286014969,2.9337617115145203,-0.09083878140931265,-3.046850721695011,0.42437307198361596,0.575626928016384,0.13654409958830788,2.516745370897139e-08
no_platform_selection_benchmark,59,fixed,0.0,0.020716070760181254,0.9792839292398188,2.9360616421987005,-0.0883622647609056,-3.0984664881846893,0.41855945506253306,0.5814405449374669,0.13700417974767465,2.3773599754237493e-08
no_platform_selection_benchmark,60,fixed,0.0,0.020045762761622194,0.9799542372383778,2.9382563315969588,-0.0859802772874958,-3.149644189390837,0.4128531106579016,0.5871468893420984,0.13747514063004188,2.2476350999528227e-08
no_platform_selection_benchmark,61,fixed,0.0,0.019405872449207627,0.9805941275507923,2.940351976888651,-0.08368810027917561,-3.200376103298584,0.40725164719780255,0.5927483528021975,0.13795554300964713,2.1267799551496896e-08
no_platform_selection_benchmark,62,fixed,0.0,0.01879461772919744,0.9812053822708026,2.9423543413551734,-0.0814812954746036,-3.250655383359929,0.4017526890040644,0.5982473109959356,0.1384440799283846,2.0140772733468287e-08
no_platform_selection_benchmark,63,fixed,0.0,0.018210341274829636,0.9817896587251703,2.9442687881869505,-0.07935568718432959,-3.3004759881839245,0.396353884608851,0.603646115391149,0.13893956435305943,1.9088757739434688e-08
no_platform_selection_benchmark,64,fixed,0.0,0.017651500734972715,0.9823484992650273,2.9461003115292415,-0.07730734546857257,-3.3498326174482997,0.3910529135938372,0.6089470864061628,0.13944091801620528,1.8105834592857908e-08
no_platform_selection_benchmark,65,fixed,0.0,0.017116659758383123,0.9828833402416168,2.947853564984771,-0.0753325703380229,-3.398720653469679,0.38584749215304404,0.614152507846956,0.13994716132777432,1.7186616447565668e-08
