scenario,period,mean_lambda,cooperation_rate,mean_material_payoff,mean_subjective_value
I2_mutation_to_prosocial,50,1.0040765345803766,1.0,3.0,6.16222960374113
I2_mutation_to_prosocial,51,1.009352325178456,1.0,2.9999999999999996,6.178056975535368
I2_mutation_to_prosocial,52,1.014337947293641,0.9999999999999999,2.999999999999999,6.193013841880922
I2_mutation_to_prosocial,53,1.0190493601924908,1.0,3.0,6.207148080577472
I2_mutation_to_prosocial,54,1.023501645381904,1.0,3.0,6.220504936145712
I2_mutation_to_prosocial,55,1.0277090548858991,1.0,3.0,6.233127164657698
I2_mutation_to_prosocial,56,1.031685056867175,1.0,3.0,6.245055170601525
I2_mutation_to_prosocial,57,1.0354423787394804,1.0,3.0,6.256327136218442
I2_mutation_to_prosocial,58,1.038993047908809,1.0,3.0,6.266979143726428
I2_mutation_to_prosocial,59,1.0423484302738246,1.0,3.0,6.277045290821474
I2_mutation_to_prosocial,60,1.0455192666087643,1.0,3.0,6.286557799826293
I2_mutation_to_prosocial,61,1.0485157069452824,1.0,3.0000000000000004,6.295547120835848
I2_mutation_to_prosocial,62,1.0513473430632918,1.0,3.0,6.304042029189876
I2_mutation_to_prosocial,63,1.054023239194811,1.0,3.0,6.312069717584434
I2_mutation_to_prosocial,64,1.0565519610390965,1.0,3.0000000000000004,6.3196558831172895
I2_mutation_to_prosocial,65,1.0589416031819463,1.0,3.0,6.326824809545839
I2_mutation_to_prosocial,66,1.0611998150069393,1.0,3.0,6.333599445020818
I2_mutation_to_prosocial,67,1.0633338251815578,1.0,3.0,6.340001475544674
I2_mutation_to_prosocial,68,1.0653504647965721,1.0,3.0,6.3460513943897165
I2_mutation_to_prosocial,69,1.0672561892327608,1.0,3.0,6.351768567698283
I2_mutation_to_prosocial,70,1.0690570988249588,1.0,3.0,6.357171296474877
I2_mutation_to_prosocial,71,1.0707589583895862,1.0,3.0,6.362276875168759
I2_mutation_to_prosocial,72,1.0723672156781592,1.0,3.0,6.3671016470344775
I2_mutation_to_prosocial,73,1.0738870188158605,1.0,3.0000000000000004,6.371661056447582
I2_mutation_to_prosocial,74,1.075323232780988,1.0,3.0,6.375969698342965
I2_mutation_to_prosocial,75,1.0766804549780338,1.0,3.0,6.380041364934102
I2_mutation_to_prosocial,76,1.0779630299542422,1.0,3.0,6.383889089862727
I2_mutation_to_prosocial,77,1.079175063306759,1.0,3.0,6.387525189920277
I2_mutation_to_prosocial,78,1.0803204348248872,1.0,3.0,6.390961304474662
I2_mutation_to_prosocial,79,1.0814028109095186,1.0,3.0,6.394208432728556
I2_mutation_to_prosocial,80,1.0824256563094952,1.0,3.0000000000000004,6.3972769689284865
I2_mutation_to_conflict,0,0.2502149677179403,0.2659448449049131,1.7271078741832409,1.8717571360415866
I2_mutation_to_conflict,1,0.17526835066567484,0.15913629708025556,1.4449369830039773,1.534931532287798
I2_mutation_to_conflict,2,0.12036607710061917,0.08788278837928441,1.2559249806445354,1.32599895448182
I2_mutation_to_conflict,3,0.07925248815984437,0.03688276787853437,1.1092879650692213,1.1663783519032798
I2_mutation_to_conflict,4,0.047164071835363225,0.014993415780153202,1.0411076072915373,1.0778606792471421
