capacity_protection,capacity,substitute_share,drift_slope,stable,interpretation
0.5,0.08535955238342287,0.9999453072497685,-0.22819129886027778,True,low trap
0.5,0.21296118545532228,0.9997911963827557,0.18104242907723714,False,threshold
0.5,0.7096519179344176,0.9629828705949096,-0.8512798991112415,True,high state
0.55,0.08536400270462038,0.9999401761169381,-0.2281489939920706,True,low trap
0.55,0.2129040098190308,0.9997390598952637,0.18108522380738665,False,threshold
0.55,0.7191426169872284,0.917124425787787,-0.8144970261589649,True,high state
0.6,0.08536887168884277,0.9999345626692773,-0.22810154683967598,True,low trap
0.6,0.21283261585235597,0.9996740071424733,0.1811520091750335,False,threshold
0.6,0.7414943571090699,0.796922717767196,-0.7389628015953009,True,high state
0.65,0.08537419891357423,0.9999284213538091,-0.2280483629506703,True,low trap
0.65,0.212743522644043,0.999592902602882,0.18125192964191977,False,threshold
0.65,0.787954508304596,0.4886072126699176,-0.8161287226805504,True,high state
0.7,0.0853800277709961,0.9999217022657811,-0.22798878092347274,True,low trap
0.7,0.21263242912292482,0.9994918894579348,0.18139705975066722,False,threshold
0.7,0.8229620584249497,0.19980041110955837,-1.3136917127170287,True,high state
0.75,0.08538640689849855,0.9999143507204078,-0.22792206038940255,True,low trap
0.75,0.2124940500259399,0.9993662478845731,0.18160321832372034,False,threshold
0.75,0.8360043020248413,0.07892323167928546,-1.6649354807604364,True,high state
0.8,0.08539338684082032,0.9999063067864412,-0.2278473899086608,True,low trap
0.8,0.21232191276550294,0.9992102403799191,0.1818909023255933,False,threshold
0.8,0.8408843755722046,0.03177275948507908,-1.832192580565872,True,high state
0.85,0.08540102577209474,0.9998975047590749,-0.22776385498609647,True,low trap
0.85,0.21210815715789794,0.9990169523116563,0.18228640957774106,False,threshold
0.85,0.8428030216097832,0.012944772734478025,-1.9063413160756,True,high state
0.9,0.08540938663482665,0.9998878725880213,-0.22767044229635416,True,low trap
0.9,0.2118433132171631,0.9987781436564516,0.18282303322780555,False,threshold
0.9,0.843576695919037,0.005305985979870245,-1.938612743425395,True,high state
0.95,0.08541853809356689,0.9998773312397456,-0.2275660264824204,True,low trap
0.95,0.21151610755920408,0.9984841374571541,0.18354230109319009,False,threshold
0.95,0.8438923914432526,0.002181294249251116,-1.9525695984887135,True,high state
1.0,0.08542855644226074,0.9998657939872095,-0.22744935175003278,True,low trap
1.0,0.2111133098602295,0.9981237843273468,0.18449504750472293,False,threshold
1.0,0.8440219168663026,0.0008979836999580351,-1.9585874853679377,True,high state
1.05,0.08543952369689942,0.999853165630956,-0.22731902873953902,True,low trap
1.05,0.21061969089508054,0.9976845562942394,0.18574210457920856,False,threshold
1.05,0.8440751927495004,0.00036991844815518137,-1.9611769523597846,True,high state
1.1,0.08545153236389161,0.9998393416140574,-0.22717350115372512,True,low trap
1.1,0.21001813507080078,0.9971528372403738,0.18735419127206399,False,threshold
1.1,0.8440971310138703,0.0001524313588116571,-1.9622892651411896,True,high state
1.15,0.08546468257904051,0.9998242070584741,-0.22701104382722706,True,low trap
1.15,0.20928999710083007,0.9965144804987595,0.18941056453380306,False,threshold
1.15,0.8441061695814132,6.282064364732432e-05,-1.9627663078977633,True,high state
1.2,0.0854790849685669,0.9998076356718648,-0.22682973427943268,True,low trap
1.2,0.20841577434539799,0.9957556892077672,0.19199594634400902,False,threshold
1.2,0.8441098943352698,2.5891515518128213e-05,-1.9629705972123808,True,high state
1.25,0.08549486064910888,0.9997894885351725,-0.22662743464181098,True,low trap
1.25,0.20737611579895018,0.9948642323919326,0.19519530933713017,False,threshold
1.25,0.844111429452896,1.0671481077166249e-05,-1.9630579611393977,True,high state
1.3,0.08551214504241944,0.9997696127234931,-0.22640175474183963,True,low trap
1.3,0.20615315914154053,0.9938309284734431,0.1990865188363671,False,threshold
1.3,0.8441120620965956,4.398426504232119e-06,-1.9630952730693063,True,high state
1.35,0.08553108596801758,0.9997478397865522,-0.22615003738151465,True,low trap
1.35,0.20473206996917725,0.9926512255859795,0.20373131973900227,False,threshold
1.35,0.8441123229265213,1.8128938670574156e-06,-1.963111190060229,True,high state
1.4,0.08555184650421144,0.999723984012131,-0.22586931992453477,True,low trap
1.4,0.20310256481170652,0.9913266122024121,0.20916581477685178,False,threshold
1.4,0.8441124303936957,7.472199872971038e-07,-1.9631179717656448,True,high state
1.45,0.0855746078491211,0.9996978404582662,-0.2255562923654218,True,low trap
1.45,0.20126014804840087,0.9898655487675232,0.21539211664464952,False,threshold
1.45,0.8441124746799467,3.079817952699063e-07,-1.9631208582234798,True,high state
1.5,0.08559956836700441,0.9996691827561376,-0.22520726800916105,True,low trap
1.5,0.1992068042755127,0.9882836640782042,0.22237293062255514,False,threshold
1.5,0.8441124929189681,1.2694097099057366e-07,-1.963122085445562,True,high state
1.55,0.08562695121765138,0.999637760529077,-0.22481811199573445,True,low trap
1.55,0.19695098686218263,0.9866031116795227,0.2300303068244255,False,threshold
1.55,0.8441125004887581,5.232131777778435e-08,-1.963122607247597,True,high state
1.6,0.08565700054168701,0.9996032965619849,-0.22438421435463998,True,low trap
1.6,0.19450691223144528,0.9848511777127712,0.23824887748022588,False,threshold
1.6,0.8441125035881996,2.1565303307772193e-08,-1.9631228285300586,True,high state
1.65,0.08568999004364014,0.9995654834203535,-0.2239004024060318,True,low trap
1.65,0.1918933224678039,0.9830583997319593,0.24688285340971775,False,threshold
1.65,0.8441125048398972,8.888582032120932e-09,-1.9631229221423463,True,high state
1.7,0.08572622299194337,0.9995239796596708,-0.22336088316471042,True,low trap
1.7,0.18913196659088133,0.9812565354062772,0.2557653005785221,False,threshold
1.7,0.8441125054359435,3.6636114255879194e-09,-1.9631229625250315,True,high state
